,instr,course,term,evals,rcmnd_class,rcmnd_instr,time,class_weighted_evals,instr_weighted_evals,letter_expected,gpa_expected,letter_actual,gpa_actual
0,"Berman, Michael David",ANSC 122,S118,15,0.9329999999999999,0.9329999999999999,4.9,14,14,B+ ,3.5,B+ ,3.42
1,"Wilder, Linnea Lorene",ANTH 102,S118,13,1.0,0.833,2.81,13,11,B+ ,3.5,A- ,3.72
2,"Hrvoj Mihic, Branka",ANTH 2,S118,7,0.857,1.0,4.17,6,7,A- ,3.75,B+ ,3.58
3,"Kurian, Amrita Achamma",ANTH 21,S118,14,0.7859999999999999,1.0,8.21,11,14,B+ ,3.33,B ,3.07
4,"Kennemore, Amy Michelle",ANTH 23,S118,21,0.9520000000000001,1.0,5.83,20,21,B+ ,3.5,A- ,3.76
5,"Mohan, Swarna",BIBC 102,S118,78,0.883,0.818,10.63,69,64,B ,3.0,C+ ,2.51
6,"Bozinovic, Goran",BIBC 103,S118,13,1.0,0.833,8.96,13,11,B ,3.08,B ,3.17
7,"Ryan, Genevieve Elaine",BICD 100,S118,46,0.9129999999999999,0.826,5.98,42,38,B ,3.27,C+ ,2.68
8,"Rusert, Jessica Marie",BICD 110,S118,37,0.865,0.8109999999999999,8.5,32,30,B+ ,3.44,B- ,2.94
9,"Rizk, Maryan Girgis Soliman",BICD 140,S118,19,0.9470000000000001,0.833,8.92,18,16,B+ ,3.35,B+ ,3.56
10,"Butler, Shannon Rhey",BIEB 102,S118,55,0.963,0.9620000000000001,3.9,53,53,B+ ,3.63,B+ ,3.59
11,"Davis, Amanda Gabrielle",BILD 1,S118,56,0.946,0.929,7.61,53,52,B+ ,3.39,B- ,2.89
12,"Reuther, Keefe",BILD 2,S118,52,0.9620000000000001,0.9620000000000001,7.31,50,50,B+ ,3.43,B+ ,3.42
13,"Rana, Brinda Kanti",BILD 20,S118,12,0.818,0.909,6.14,10,11,B- ,2.86,B ,3.29
14,"Waterton, Joseph Sebastian",BILD 3,S118,25,0.875,0.917,5.58,22,23,B+ ,3.3,B- ,2.81
15,"Reuther, Keefe",BILD 4,S118,39,0.9740000000000001,0.9740000000000001,3.66,38,38,A- ,3.78,A- ,3.78
16,"Cooper, Andrew Michael",BIMM 100,S118,52,1.0,1.0,7.04,52,52,B+ ,3.67,B+ ,3.4
17,"Chu, Monica W",BIMM 101,S118,40,1.0,0.95,9.05,40,38,B+ ,3.56,B+ ,3.59
18,"Armour, Jon Christopher",BIPN 100,S118,24,1.0,1.0,9.92,24,24,B ,3.22,C+ ,2.52
19,"Cooke, James Edward",BIPN 134,S118,25,1.0,1.0,7.46,25,25,B ,3.29,B ,3.07
20,"Smith, Ashley Elizabeth",CAT 125R,S118,128,0.905,0.96,5.6,116,123,A- ,3.79,A- ,3.84
21,"Ternansky, Robert J.",CHEM 143B,S118,16,0.938,0.938,8.63,15,15,B ,3.07,B+ ,3.3
22,"Klosterman, Jeremy K",CHEM 40A,S118,20,0.8,0.7,12.1,16,14,B- ,2.95,B- ,2.76
23,"Weizman, Haim",CHEM 40B,S118,31,0.8,0.867,11.03,25,27,B- ,2.72,B- ,2.88
24,"Klosterman, Jeremy K",CHEM 40C,S118,13,0.769,0.9229999999999999,14.04,10,12,B+ ,3.31,B- ,2.87
25,"Weizman, Haim",CHEM 43A,S118,22,0.6,0.95,10.1,13,21,B ,3.25,B ,3.03
26,"Katz, Faith Erin Heffernan",CHEM 6A,S118,25,0.84,0.875,5.7,21,22,B ,3.04,B ,3.23
27,"Hoeger, Carl",CHEM 6B,S118,24,0.773,0.773,9.8,19,19,B- ,2.82,B- ,2.85
28,"Hoeger, Carl",CHEM 6C,S118,22,0.7140000000000001,0.762,11.36,16,17,B- ,2.71,B ,3.1
29,"Kim, Judy E.",CHEM 7L,S118,22,0.682,0.818,10.23,15,18,B- ,2.95,B- ,2.97
30,"Kim, Judy E.",CHEM 7L,S118,12,0.636,0.909,8.33,8,11,C+ ,2.67,B- ,2.97
31,"Tauber, Michael",CHEM 7L,S118,17,0.7140000000000001,0.643,10.63,12,11,B ,3.13,B- ,2.97
32,"Tauber, Michael",CHEM 7L,S118,15,1.0,0.7140000000000001,8.35,15,11,B ,3.07,B- ,2.97
33,"Davis, Joshua Daniel",COGS 101A,S118,44,0.932,0.953,5.82,41,42,B+ ,3.56,B+ ,3.33
34,"Coulson, Seana M",COGS 101C,S118,12,0.8,0.889,4.67,10,11,B+ ,3.5,B+ ,3.4
